Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.565172735760971,0.5362318840579711,0.5636363636363636,0.6078431372549019,0.4666666666666667,{'clf__C': 0.1}
2,0.642250233426704,0.6135265700483091,0.6610169491525424,0.7647058823529411,0.4666666666666667,{'clf__C': 0.1}
3,0.6249299458247711,0.5265700483091788,0.6423357664233577,0.8712871287128713,0.19811320754716982,{'clf__C': 0.001}
4,0.6109345794392523,0.4927536231884058,0.6153846153846154,0.84,0.16822429906542055,{'clf__C': 0.001}
5,0.5557009345794393,0.5555555555555556,0.5892857142857143,0.66,0.45794392523364486,{'clf__C': 0.1}
