Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5011904761904762,0.2257749943473864,0.4930555555555555,0.1991494258770547,0.5436507936507937,0.5666666666666667,0.4333333333333333,8,10,8,11
CMU,27,0.6466666666666667,0.2280350850198276,0.6777777777777778,0.17356110390903676,0.5976190476190476,0.6666666666666666,0.6,8,5,4,10
KKI,48,0.4377777777777778,0.041275945824459356,0.585,0.14779866184930246,0.5318681318681319,0.85,0.15333333333333332,4,24,3,17
LEUVEN,63,0.5384615384615385,0.07543975830730654,0.5144444444444445,0.12141809271105905,0.4324675324675324,0.4333333333333333,0.6190476190476191,21,13,16,13
MAX_MUN,52,0.44080808080808076,0.21731214628165318,0.4800000000000001,0.1654623152798781,0.49878787878787884,0.62,0.2866666666666667,8,20,9,15
NYU,175,0.5714285714285714,0.08571428571428572,0.6356666666666667,0.07609643005205086,0.6180011655011655,0.8133333333333332,0.39,39,61,14,61
OHSU,26,0.4833333333333333,0.29953667926019045,0.42777777777777787,0.33957126199858056,0.47333333333333333,0.5666666666666667,0.4333333333333333,6,8,6,6
OLIN,34,0.6047619047619047,0.2649177342038309,0.65,0.33082388735465346,0.6020634920634921,0.65,0.5333333333333333,8,7,6,13
PITT,56,0.6060606060606061,0.08570991287109668,0.5599999999999999,0.11430952132988165,0.6066666666666667,0.5866666666666667,0.6266666666666667,17,10,12,17
SBL,30,0.5333333333333333,0.07453559924999296,0.6666666666666667,0.14054567378526134,0.48,0.6,0.4666666666666666,7,8,6,9
SDSU,36,0.6071428571428571,0.07885500773507008,0.6599999999999999,0.08472176684759224,0.5919047619047619,0.8,0.5,11,11,3,11
STANFORD,39,0.46428571428571425,0.08656571173957729,0.5666666666666667,0.14276534749176512,0.5848484848484847,0.8,0.15,3,17,4,15
TRINITY,47,0.6155555555555556,0.11956712046501872,0.65,0.21908902300206645,0.663076923076923,0.8099999999999999,0.44000000000000006,11,14,4,18
UCLA,98,0.641578947368421,0.13255427989738236,0.710959595959596,0.06676828802116326,0.7187476774433297,0.849090909090909,0.3833333333333333,17,27,8,46
UM,140,0.550538222952016,0.03969941781832468,0.6682783882783883,0.08382393123941081,0.6447619047619048,0.8780219780219781,0.2571428571428571,19,55,8,58
USM,71,0.5952380952380952,0.20062261364705616,0.7048888888888889,0.14965573662968232,0.70207336523126,0.7688888888888888,0.27999999999999997,7,18,11,35
YALE,56,0.5645454545454546,0.24237120631975365,0.6433333333333333,0.2143148716200788,0.5263636363636364,0.48,0.6466666666666667,18,10,15,13
