Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.5455648926237162,0.5265700483091788,0.5,0.4803921568627451,0.5714285714285714,{'clf__C': 100}
2,0.5686741363211952,0.5603864734299517,0.5472636815920398,0.5392156862745098,0.580952380952381,{'clf__C': 10}
3,0.5549224733794135,0.5458937198067633,0.5252525252525253,0.5148514851485149,0.5754716981132075,{'clf__C': 10}
4,0.5540654205607476,0.5410628019323671,0.5497630331753555,0.58,0.5046728971962616,{'clf__C': 1}
5,0.5040186915887851,0.46859903381642515,0.47619047619047616,0.5,0.4392523364485981,{'clf__C': 1}
