Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.5,0.5,0.3333333333333333,0.25,0.75,3,1,3,1
1,CMU,4,0.5,0.0,0.0,0.0,1.0,2,0,2,0
1,KKI,9,0.5555555555555556,0.45,0.5,0.5,0.6,3,2,2,2
1,LEUVEN,13,0.5384615384615384,0.5952380952380952,0.5,0.5,0.5714285714285714,4,3,3,3
1,MAX_MUN,11,0.5454545454545454,0.46666666666666673,0.4444444444444444,0.4,0.6666666666666666,4,2,3,2
1,NYU,35,0.6,0.52,0.5,0.4666666666666667,0.7,14,6,8,7
1,OHSU,4,0.5,0.0,0.6666666666666666,1.0,0.0,0,2,0,2
1,OLIN,7,0.42857142857142855,0.6666666666666667,0.5,0.5,0.3333333333333333,1,2,2,2
1,PITT,11,0.45454545454545453,0.6666666666666667,0.5,0.5,0.4,2,3,3,3
1,SBL,6,0.5,0.5555555555555556,0.0,0.0,1.0,3,0,3,0
1,SDSU,7,0.42857142857142855,0.41666666666666663,0.5,0.6666666666666666,0.25,1,3,1,2
1,STANFORD,8,0.375,0.625,0.4444444444444444,0.5,0.25,1,3,2,2
1,TRINITY,10,0.4,0.4800000000000001,0.25,0.2,0.6,3,2,4,1
1,UCLA,20,0.6,0.606060606060606,0.6363636363636364,0.6363636363636364,0.5555555555555556,5,4,4,7
1,UM,28,0.4642857142857143,0.5230769230769231,0.4444444444444444,0.46153846153846156,0.4666666666666667,7,8,7,6
1,USM,15,0.6,0.6599999999999999,0.625,0.5,0.8,4,1,5,5
1,YALE,11,0.6363636363636364,0.7,0.6666666666666666,0.8,0.5,3,3,1,4
2,CALTECH,7,0.7142857142857143,0.6666666666666667,0.75,0.75,0.6666666666666666,2,1,1,3
2,CMU,6,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,2,1,3,0
2,KKI,9,0.5555555555555556,0.55,0.6,0.75,0.4,2,3,1,3
2,LEUVEN,12,0.75,0.7500000000000001,0.7692307692307693,0.8333333333333334,0.6666666666666666,4,2,1,5
2,MAX_MUN,11,0.5454545454545454,0.5666666666666667,0.5454545454545454,0.6,0.5,3,3,2,3
2,NYU,35,0.5142857142857142,0.5449999999999999,0.41379310344827586,0.4,0.6,12,8,9,6
2,OHSU,5,1.0,1.0,1.0,1.0,1.0,3,0,0,2
2,OLIN,7,0.42857142857142855,0.5833333333333334,0.3333333333333333,0.25,0.6666666666666666,2,1,3,1
2,PITT,11,0.7272727272727273,0.7,0.7272727272727273,0.6666666666666666,0.8,4,1,2,4
2,SBL,6,0.8333333333333334,0.7777777777777779,0.8571428571428571,1.0,0.6666666666666666,2,1,0,3
2,SDSU,7,0.7142857142857143,0.9166666666666666,0.75,1.0,0.5,2,2,0,3
2,STANFORD,8,0.625,0.4375,0.6666666666666666,0.75,0.5,2,2,1,3
2,TRINITY,10,0.5,0.48,0.4444444444444444,0.4,0.6,3,2,3,2
2,UCLA,19,0.42105263157894735,0.3888888888888889,0.35294117647058826,0.3,0.5555555555555556,5,4,7,3
2,UM,28,0.5357142857142857,0.6153846153846154,0.5185185185185185,0.5384615384615384,0.5333333333333333,8,7,6,7
2,USM,14,0.42857142857142855,0.5333333333333333,0.42857142857142855,0.3333333333333333,0.6,3,2,6,3
2,YALE,12,0.5,0.4722222222222222,0.5714285714285714,0.6666666666666666,0.3333333333333333,2,4,2,4
3,CALTECH,6,0.5,0.5555555555555556,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
3,CMU,6,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.0,0,3,1,2
3,KKI,10,0.8,1.0,0.8,1.0,0.6666666666666666,4,2,0,4
3,LEUVEN,13,0.38461538461538464,0.4285714285714286,0.3333333333333333,0.3333333333333333,0.42857142857142855,3,4,4,2
3,MAX_MUN,10,0.7,0.78,0.6666666666666666,0.6,0.8,4,1,2,3
3,NYU,35,0.4857142857142857,0.4,0.4,0.4,0.55,11,9,9,6
3,OHSU,6,0.8333333333333334,0.6666666666666666,0.8,0.6666666666666666,1.0,3,0,1,2
3,OLIN,7,0.7142857142857143,0.7500000000000001,0.75,0.75,0.6666666666666666,2,1,1,3
3,PITT,12,0.6666666666666666,0.6944444444444445,0.6,0.5,0.8333333333333334,5,1,3,3
3,SBL,6,0.6666666666666666,0.5555555555555556,0.5,0.3333333333333333,1.0,3,0,2,1
3,SDSU,6,0.8333333333333334,0.75,0.8,1.0,0.75,3,1,0,2
3,STANFORD,8,0.375,0.25,0.4444444444444444,0.5,0.25,1,3,2,2
3,TRINITY,9,0.4444444444444444,0.65,0.4444444444444444,0.5,0.4,2,3,2,2
3,UCLA,20,0.45,0.45454545454545453,0.42105263157894735,0.36363636363636365,0.5555555555555556,5,4,7,4
3,UM,27,0.48148148148148145,0.5357142857142857,0.5,0.5384615384615384,0.42857142857142855,6,8,6,7
3,USM,14,0.7142857142857143,0.7777777777777778,0.75,0.6666666666666666,0.8,4,1,3,6
3,YALE,12,0.4166666666666667,0.25,0.36363636363636365,0.3333333333333333,0.5,3,3,4,2
4,CALTECH,8,0.125,0.1875,0.2222222222222222,0.25,0.0,0,4,3,1
4,CMU,6,0.5,0.7777777777777779,0.4,0.3333333333333333,0.6666666666666666,2,1,2,1
4,KKI,10,0.5,0.41666666666666663,0.5454545454545454,0.75,0.3333333333333333,2,4,1,3
4,LEUVEN,13,0.46153846153846156,0.35714285714285715,0.36363636363636365,0.3333333333333333,0.5714285714285714,4,3,4,2
4,MAX_MUN,9,0.5555555555555556,0.55,0.5,0.5,0.6,3,2,2,2
4,NYU,35,0.6571428571428571,0.7100000000000001,0.6470588235294118,0.7333333333333333,0.6,12,8,4,11
4,OHSU,6,0.3333333333333333,0.4444444444444445,0.0,0.0,0.6666666666666666,2,1,3,0
4,OLIN,6,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,PITT,11,0.36363636363636365,0.6333333333333333,0.0,0.0,0.6666666666666666,4,2,5,0
4,SBL,6,0.3333333333333333,0.11111111111111112,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,2,2,1
4,SDSU,8,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,4,1,1,2
4,STANFORD,8,0.5,0.5,0.5,0.5,0.5,2,2,2,2
4,TRINITY,9,0.5555555555555556,0.55,0.6,0.75,0.4,2,3,1,3
