Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.5753501400560224,0.5797101449275363,0.5396825396825397,0.5,0.6571428571428571,{'clf__C': 0.1}
2,0.5966386554621848,0.5748792270531401,0.5728155339805825,0.5784313725490197,0.5714285714285714,{'clf__C': 0.1}
3,0.5312908649355501,0.5169082125603864,0.5412844036697247,0.5841584158415841,0.4528301886792453,{'clf__C': 1}
4,0.59803738317757,0.5555555555555556,0.6101694915254238,0.72,0.40186915887850466,{'clf__C': 0.001}
5,0.5284579439252337,0.5024154589371981,0.5024154589371981,0.52,0.48598130841121495,{'clf__C': 0.1}
