Fold,ACC,AUC,Params
1,0.7294685990338164,0.7902894491129785,Averaged
2,0.7536231884057971,0.8286647992530346,Averaged
3,0.7729468599033816,0.8193536334765551,Averaged
4,0.6956521739130435,0.7561682242990654,Averaged
5,0.6618357487922706,0.735233644859813,Averaged
