Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.6490196078431373,0.6328502415458938,0.6161616161616161,0.5980392156862745,0.6666666666666666,{'clf__C': 0.1}
2,0.634360410830999,0.6328502415458938,0.6415094339622641,0.6666666666666666,0.6,{'clf__C': 0.001}
3,0.6513170184943023,0.5893719806763285,0.6009389671361502,0.6336633663366337,0.5471698113207547,{'clf__C': 0.1}
4,0.6057009345794393,0.5942028985507246,0.5922330097087378,0.61,0.5794392523364486,{'clf__C': 0.1}
5,0.5510280373831775,0.5314009661835749,0.5221674876847291,0.53,0.5327102803738317,{'clf__C': 0.1}
