Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.6011904761904762,0.09762630635033763,0.5569444444444445,0.060921422776281445,0.530952380952381,0.4833333333333333,0.7166666666666666,13,5,10,9
CMU,27,0.63,0.24392621835300934,0.6166666666666667,0.33166247903554,0.5809523809523809,0.6333333333333333,0.6,8,5,5,9
KKI,48,0.5244444444444445,0.2333862373887311,0.5133333333333333,0.28010910572687764,0.5599999999999999,0.7,0.4,11,17,6,14
LEUVEN,63,0.4615384615384615,0.1484081654203875,0.5393650793650794,0.1695677964453535,0.3233766233766234,0.3,0.6,20,14,20,9
MAX_MUN,52,0.5238383838383839,0.1254714606596143,0.4706666666666667,0.1664585367124331,0.478989898989899,0.5,0.54,15,13,12,12
NYU,175,0.6457142857142857,0.08944271909999162,0.6793333333333333,0.08138795979750321,0.601869421603767,0.64,0.65,65,35,27,48
OHSU,26,0.58,0.1757523510195209,0.5111111111111112,0.16254154264808665,0.5266666666666666,0.5333333333333333,0.6333333333333333,9,5,6,6
OLIN,34,0.5761904761904761,0.23714094472359493,0.6111111111111112,0.25337231668869736,0.5766666666666667,0.6,0.5333333333333333,8,7,7,12
PITT,56,0.6424242424242423,0.06569540420811762,0.6111111111111112,0.07131914015947205,0.6362703962703963,0.62,0.6599999999999999,18,9,11,18
SBL,30,0.5333333333333333,0.21730674684008833,0.6666666666666667,0.2981423969999719,0.41809523809523813,0.4,0.6666666666666666,10,5,9,6
SDSU,36,0.6642857142857143,0.22066400259402602,0.5816666666666667,0.2088593359709406,0.5219047619047619,0.5333333333333333,0.73,16,6,6,8
STANFORD,39,0.5071428571428571,0.13866620470226557,0.6583333333333333,0.25365385425374043,0.5523809523809524,0.6666666666666667,0.35,7,13,6,13
TRINITY,47,0.5711111111111111,0.175611805334492,0.5660000000000001,0.18369540005128054,0.4922222222222222,0.5,0.64,16,9,11,11
UCLA,98,0.5815789473684211,0.08168499050088819,0.6158585858585859,0.08881631564471454,0.6183685300207039,0.6290909090909091,0.525,23,21,20,34
UM,140,0.6222313446451377,0.06144647996895141,0.6698901098901098,0.062019054819054384,0.6395793861311103,0.7131868131868132,0.540952380952381,40,34,19,47
USM,71,0.6466666666666667,0.10467528886883112,0.6457777777777778,0.12899306135038122,0.7224269005847953,0.7155555555555556,0.5199999999999999,13,12,13,33
YALE,56,0.646969696969697,0.24168922664719383,0.6791111111111111,0.1550378687312901,0.6435897435897436,0.64,0.6466666666666667,18,10,10,18
