Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.7875816993464053,0.748792270531401,0.7204301075268817,0.6568627450980392,0.8380952380952381,{'C': 100}
2,0.8123249299719888,0.7584541062801933,0.7395833333333334,0.696078431372549,0.819047619047619,{'C': 100}
3,0.811414160283953,0.7391304347826086,0.7244897959183674,0.7029702970297029,0.7735849056603774,{'C': 100}
4,0.7709345794392524,0.7246376811594203,0.7246376811594203,0.75,0.7009345794392523,{'C': 10}
5,0.7306542056074766,0.6328502415458938,0.6161616161616161,0.61,0.6542056074766355,{'C': 100}
