Model,P_Value_Perm,AUC_Mean,AUC_STD,ACC_Mean,ACC_STD,F1_Mean,F1_STD,Sens_Mean,Sens_STD,Spec_Mean,Spec_STD,TN,FP,FN,TP
TS_Riemann_LogReg,0.0196,0.783,0.03,0.721,0.045,0.705,0.045,0.683,0.047,0.757,0.07,401,129,160,345
TS_Riemann_LinSVM,0.0196,0.778,0.031,0.7,0.033,0.685,0.03,0.669,0.031,0.729,0.058,386,144,167,338
TS_Riemann_RBFSVM,0.0196,0.772,0.03,0.703,0.035,0.673,0.042,0.628,0.058,0.776,0.058,411,119,188,317
