Fold,ACC,AUC,Params
1,0.6811594202898551,0.7271241830065359,{'C': 0.1}
2,0.7004830917874396,0.7556489262371616,{'C': 0.1}
3,0.7294685990338164,0.774192041845694,{'C': 0.1}
4,0.6183574879227053,0.6847663551401868,{'C': 0.1}
5,0.6231884057971014,0.6988785046728971,{'C': 0.1}
