Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5630952380952381,0.19432495518748175,0.5277777777777779,0.20131703699070294,0.4587301587301587,0.45,0.6666666666666666,12,6,10,9
CMU,27,0.5966666666666667,0.14259499757471622,0.5666666666666667,0.15071844406945042,0.5776190476190476,0.5666666666666667,0.6,8,5,6,8
KKI,48,0.5399999999999999,0.17188138315868653,0.6133333333333333,0.19927646903513496,0.6001864801864801,0.8,0.35333333333333333,10,18,4,16
LEUVEN,63,0.573076923076923,0.11409536133993325,0.6138095238095238,0.09895600158369933,0.42878787878787883,0.3733333333333333,0.7380952380952381,25,9,18,11
MAX_MUN,52,0.48303030303030303,0.254289192794512,0.5093333333333334,0.1963941614882344,0.5032167832167832,0.58,0.4,11,17,10,14
NYU,175,0.6171428571428571,0.07719574906346456,0.6439999999999999,0.06951898221988646,0.6031016042780749,0.6799999999999999,0.5700000000000001,57,43,24,51
OHSU,26,0.51,0.23321425532949075,0.5222222222222223,0.2125680718856555,0.49333333333333335,0.5333333333333333,0.5,7,7,6,6
OLIN,34,0.5476190476190477,0.24628762935210954,0.6305555555555555,0.2655067365633004,0.6158730158730158,0.6666666666666666,0.4,6,9,6,13
PITT,56,0.6242424242424243,0.13653188274022807,0.7444444444444445,0.04608098078517269,0.5590909090909091,0.47333333333333333,0.78,21,6,15,14
SBL,30,0.5333333333333333,0.13944333775567924,0.5333333333333334,0.38103173776627214,0.39666666666666667,0.4,0.6666666666666666,10,5,9,6
SDSU,36,0.6404761904761905,0.184648575331309,0.605,0.15235193176035253,0.47333333333333333,0.4333333333333333,0.77,17,5,8,6
STANFORD,39,0.5642857142857143,0.1398112795075956,0.4666666666666667,0.14707802162268993,0.6288311688311689,0.7833333333333333,0.35,7,13,4,15
TRINITY,47,0.6377777777777778,0.21046685320091688,0.6599999999999999,0.13870832707519765,0.5790909090909091,0.64,0.64,16,9,8,14
UCLA,98,0.5821052631578947,0.1273178455481157,0.6636363636363637,0.14548961417879455,0.6251461988304093,0.6272727272727272,0.525,23,21,20,34
UM,140,0.6214924283889801,0.015289946885693498,0.6818315018315018,0.04971310032496284,0.6853921263361491,0.8791208791208792,0.3923809523809524,29,45,8,58
USM,71,0.7314285714285715,0.12952030807592158,0.7706666666666667,0.09800377921662382,0.7993000403822856,0.8444444444444444,0.52,13,12,7,39
YALE,56,0.5393939393939394,0.138182316586023,0.5908888888888889,0.1513599258737062,0.5551515151515151,0.5733333333333334,0.5,14,14,12,16
