Model,Fold,AUC,ACC,F1,Sens,Spec,TN,FP,FN,TP,Train_AUC,Params
TS_Riemann_RBFSVM_mean_centering,1,0.7648926237161531,0.7198067632850241,0.6704545454545454,0.5784313725490197,0.8571428571428571,90,15,43,59,1.0,{'C': 10}
TS_Riemann_RBFSVM_mean_centering,2,0.7932773109243698,0.7101449275362319,0.6739130434782609,0.6078431372549019,0.8095238095238095,85,20,40,62,1.0,{'C': 10}
TS_Riemann_RBFSVM_mean_centering,3,0.8091724266766299,0.7439613526570048,0.7253886010362695,0.693069306930693,0.7924528301886793,84,22,31,70,1.0,{'C': 10}
TS_Riemann_RBFSVM_mean_centering,4,0.7703271028037383,0.7053140096618358,0.6965174129353234,0.7,0.7102803738317757,76,31,30,70,1.0,{'C': 10}
TS_Riemann_RBFSVM_mean_centering,5,0.72,0.6376811594202898,0.5989304812834224,0.56,0.7102803738317757,76,31,44,56,1.0,{'C': 10}
