Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.6352941176470589,0.5942028985507246,0.6146788990825688,0.6568627450980392,0.5333333333333333,{'clf__C': 0.1}
2,0.6580765639589169,0.6183574879227053,0.6775510204081633,0.8137254901960784,0.42857142857142855,{'clf__C': 0.001}
3,0.6674761815804222,0.5893719806763285,0.6586345381526104,0.8118811881188119,0.37735849056603776,{'clf__C': 0.001}
4,0.6285981308411215,0.5652173913043478,0.6428571428571429,0.81,0.3364485981308411,{'clf__C': 0.001}
5,0.5879439252336448,0.5410628019323671,0.602510460251046,0.72,0.37383177570093457,{'clf__C': 0.001}
