Model,Fold,AUC,ACC,F1,Sens,Spec,TN,FP,FN,TP,Train_AUC,Params
TS_Riemann_LinSVM_standard_scaler,1,0.7673202614379084,0.7053140096618358,0.6871794871794872,0.6568627450980392,0.7523809523809524,79,26,35,67,1.0,{'C': 10}
TS_Riemann_LinSVM_standard_scaler,2,0.8170868347338935,0.7246376811594203,0.7076923076923077,0.6764705882352942,0.7714285714285715,81,24,33,69,1.0,{'C': 0.001}
TS_Riemann_LinSVM_standard_scaler,3,0.8031944703904352,0.714975845410628,0.7093596059113301,0.7128712871287128,0.7169811320754716,76,30,29,72,1.0,{'C': 10}
TS_Riemann_LinSVM_standard_scaler,4,0.7745794392523364,0.6859903381642513,0.6798029556650246,0.69,0.6822429906542056,73,34,31,69,1.0,{'C': 0.001}
TS_Riemann_LinSVM_standard_scaler,5,0.7193457943925233,0.6376811594202898,0.6268656716417911,0.63,0.6448598130841121,69,38,37,63,1.0,{'C': 0.001}
