Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.642483660130719,0.6280193236714976,0.631578947368421,0.6470588235294118,0.6095238095238096,{'clf__C': 1}
2,0.6160597572362279,0.5603864734299517,0.5687203791469194,0.5882352941176471,0.5333333333333333,{'clf__C': 1}
3,0.6458994956099383,0.5748792270531401,0.5925925925925926,0.6336633663366337,0.5188679245283019,{'clf__C': 1}
4,0.6860280373831776,0.642512077294686,0.6636363636363637,0.73,0.5607476635514018,{'clf__C': 1}
5,0.5880841121495327,0.5507246376811594,0.5674418604651162,0.61,0.4953271028037383,{'clf__C': 1}
