Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.7757236227824463,0.7101449275362319,0.6808510638297872,0.6274509803921569,0.7904761904761904,{'C': 100}
2,0.8070961718020542,0.7294685990338164,0.711340206185567,0.6764705882352942,0.780952380952381,{'C': 0.1}
3,0.8072109097702223,0.7246376811594203,0.7135678391959799,0.7029702970297029,0.7452830188679245,{'C': 100}
4,0.7783177570093458,0.6956521739130435,0.6896551724137931,0.7,0.6915887850467289,{'C': 10}
5,0.7236448598130841,0.6376811594202898,0.6305418719211823,0.64,0.6355140186915887,{'C': 0.1}
