Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.46785714285714286,0.17239311980210242,0.4958333333333334,0.2025874296857203,0.3466666666666667,0.31666666666666665,0.6166666666666666,11,7,13,6
CMU,27,0.58,0.17094508539944112,0.5444444444444445,0.25434495871687995,0.43571428571428567,0.5333333333333333,0.6,8,5,6,8
KKI,48,0.5444444444444445,0.2241582333536891,0.5900000000000001,0.18733511268431352,0.583076923076923,0.75,0.4066666666666666,11,17,5,15
LEUVEN,63,0.5743589743589743,0.18387493963392088,0.5763492063492064,0.16257595081475223,0.4344444444444444,0.4066666666666666,0.7095238095238094,24,10,17,12
MAX_MUN,52,0.5438383838383839,0.16294529219384632,0.5413333333333333,0.18758820147688748,0.5,0.54,0.5399999999999999,15,13,11,13
NYU,175,0.5942857142857143,0.09772932215135469,0.6399999999999999,0.08427468316298924,0.541321044546851,0.5733333333333334,0.61,61,39,32,43
OHSU,26,0.49333333333333335,0.24426761280748346,0.5555555555555556,0.21372648957412607,0.5599999999999999,0.7,0.3333333333333333,5,9,4,8
OLIN,34,0.6428571428571429,0.14285714285714285,0.65,0.19293061504650377,0.653968253968254,0.6333333333333333,0.6666666666666666,10,5,7,12
PITT,56,0.5151515151515151,0.1133835571749679,0.6466666666666667,0.05811865258054232,0.4521678321678322,0.4333333333333333,0.58,16,11,16,13
SBL,30,0.5,0.16666666666666669,0.5333333333333334,0.3541639433446495,0.3,0.26666666666666666,0.7333333333333333,11,4,11,4
SDSU,36,0.6619047619047619,0.1348447499013726,0.6133333333333333,0.2254378455854789,0.5833333333333333,0.6333333333333333,0.67,15,7,5,9
STANFORD,39,0.45714285714285713,0.13036937320317127,0.4875,0.19121323175972943,0.5395670995670996,0.6666666666666667,0.25,5,15,6,13
TRINITY,47,0.4644444444444444,0.15993825969285852,0.45,0.21531372459738837,0.3333333333333333,0.30999999999999994,0.6,15,10,15,7
UCLA,98,0.5510526315789473,0.0640182626298036,0.6164646464646465,0.08845947701385032,0.5650980392156864,0.5345454545454545,0.5694444444444444,25,19,25,29
UM,140,0.6150884875022806,0.06051821309470971,0.6497435897435897,0.09536520117747614,0.686921478268727,0.8956043956043956,0.36476190476190473,27,47,7,59
USM,71,0.7028571428571428,0.0965739644637461,0.7128888888888889,0.07311617679174681,0.7877447241291635,0.8666666666666666,0.4,10,15,6,40
YALE,56,0.5557575757575758,0.2007715832734746,0.6008888888888889,0.20664444324957285,0.5744289044289045,0.5666666666666667,0.54,15,13,12,16
