Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.6270308123249301,0.5652173913043478,0.5714285714285714,0.5882352941176471,0.5428571428571428,{'clf__C': 1}
2,0.6082166199813258,0.5797101449275363,0.5756097560975609,0.5784313725490197,0.580952380952381,{'clf__C': 1}
3,0.6570614608630675,0.6280193236714976,0.6384976525821596,0.6732673267326733,0.5849056603773585,{'clf__C': 1}
4,0.6227570093457944,0.5797101449275363,0.5953488372093023,0.64,0.5233644859813084,{'clf__C': 1}
5,0.5311214953271028,0.5024154589371981,0.5209302325581395,0.56,0.4485981308411215,{'clf__C': 1}
