Fold,Site,N_Samples,ACC,AUC,F1,Sens,Spec,TN,FP,FN,TP
1,CALTECH,8,0.75,0.75,0.6666666666666666,0.5,1.0,4,0,2,2
1,CMU,4,0.75,0.5,0.6666666666666666,0.5,1.0,2,0,1,1
1,KKI,9,0.7777777777777778,0.85,0.8,1.0,0.6,3,2,0,4
1,LEUVEN,13,0.46153846153846156,0.5952380952380952,0.2222222222222222,0.16666666666666666,0.7142857142857143,5,2,5,1
1,MAX_MUN,11,0.5454545454545454,0.5333333333333333,0.5454545454545454,0.6,0.5,3,3,2,3
1,NYU,35,0.6571428571428571,0.7,0.6470588235294118,0.7333333333333333,0.6,12,8,4,11
1,OHSU,4,0.75,0.5,0.8,1.0,0.5,1,1,0,2
1,OLIN,7,0.42857142857142855,0.5833333333333334,0.3333333333333333,0.25,0.6666666666666666,2,1,3,1
1,PITT,11,0.7272727272727273,0.8333333333333333,0.7692307692307693,0.8333333333333334,0.6,3,2,1,5
1,SBL,6,0.6666666666666666,0.7777777777777778,0.5,0.3333333333333333,1.0,3,0,2,1
1,SDSU,7,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.25,1,3,2,1
1,STANFORD,8,0.625,0.6875,0.7272727272727273,1.0,0.25,1,3,0,4
1,TRINITY,10,0.5,0.36000000000000004,0.5454545454545454,0.6,0.4,2,3,2,3
1,UCLA,20,0.55,0.5656565656565657,0.6086956521739131,0.6363636363636364,0.4444444444444444,4,5,4,7
1,UM,28,0.6071428571428571,0.7743589743589744,0.7027027027027027,1.0,0.26666666666666666,4,11,0,13
1,USM,15,0.8,0.78,0.8695652173913043,1.0,0.4,2,3,0,10
1,YALE,11,0.8181818181818182,0.8,0.75,0.6,1.0,6,0,2,3
2,CALTECH,7,0.8571428571428571,0.9166666666666667,0.8888888888888888,1.0,0.6666666666666666,2,1,0,4
2,CMU,6,0.6666666666666666,0.888888888888889,0.5,0.3333333333333333,1.0,3,0,2,1
2,KKI,9,0.4444444444444444,0.45,0.4444444444444444,0.5,0.4,2,3,2,2
2,LEUVEN,12,0.6666666666666666,0.7777777777777778,0.6,0.5,0.8333333333333334,5,1,3,3
