Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.6621848739495798,0.6280193236714976,0.6515837104072398,0.7058823529411765,0.5523809523809524,{'clf__C': 1}
2,0.6329598506069094,0.5942028985507246,0.6037735849056604,0.6274509803921569,0.5619047619047619,{'clf__C': 1}
3,0.6752288436390809,0.642512077294686,0.6542056074766355,0.693069306930693,0.5943396226415094,{'clf__C': 1}
4,0.6517757009345794,0.6038647342995169,0.6095238095238096,0.64,0.5700934579439252,{'clf__C': 1}
5,0.5586915887850467,0.5265700483091788,0.5377358490566038,0.57,0.48598130841121495,{'clf__C': 1}
