Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5630952380952381,0.23105667748112538,0.6631944444444444,0.15661223443686845,0.4666666666666666,0.45,0.6666666666666666,12,6,10,9
CMU,27,0.6633333333333333,0.16261747890200623,0.6333333333333334,0.22110831935702668,0.669047619047619,0.7,0.6,8,5,4,10
KKI,48,0.5844444444444444,0.21482120041594632,0.635,0.2585429257288709,0.6078632478632479,0.75,0.4666666666666667,13,15,5,15
LEUVEN,63,0.5256410256410257,0.08504166129116408,0.615079365079365,0.14148369759199592,0.37317460317460316,0.33999999999999997,0.680952380952381,23,11,19,10
MAX_MUN,52,0.4513131313131312,0.19721869783061302,0.5113333333333333,0.20039516516678296,0.5153246753246753,0.65,0.2733333333333333,8,20,8,16
NYU,175,0.6171428571428571,0.07171371656006365,0.6576666666666666,0.06285432894134393,0.5737295251804838,0.6133333333333333,0.62,62,38,29,46
OHSU,26,0.5433333333333333,0.270185121722126,0.5333333333333334,0.18790593916986406,0.5866666666666667,0.7,0.4333333333333333,6,8,4,8
OLIN,34,0.5238095238095238,0.14677176197545183,0.5333333333333334,0.2818589087547961,0.520952380952381,0.5333333333333333,0.5333333333333333,8,7,9,10
PITT,56,0.5863636363636363,0.17037877103628465,0.7277777777777777,0.07535922203472517,0.5193006993006992,0.5,0.6599999999999999,18,9,14,15
SBL,30,0.6,0.25276251480171835,0.5333333333333334,0.34712220781807357,0.44666666666666666,0.4,0.8,12,3,9,6
SDSU,36,0.6035714285714285,0.25517600968423215,0.6616666666666667,0.1761943371520335,0.38857142857142857,0.4,0.71,16,6,8,6
STANFORD,39,0.5857142857142856,0.12461675944548503,0.5125,0.1828592354790974,0.6842424242424243,0.9333333333333333,0.25,5,15,1,18
TRINITY,47,0.5066666666666666,0.1754359648925436,0.548,0.2224769650997604,0.4257575757575758,0.44000000000000006,0.5599999999999999,14,11,12,10
UCLA,98,0.6226315789473684,0.09010228106231037,0.6909090909090908,0.10927780473776581,0.6482186625985253,0.6272727272727272,0.6166666666666666,27,17,20,34
UM,140,0.6426746943988324,0.026821106312816992,0.7055677655677656,0.045134626820584646,0.7021715565833213,0.8945054945054945,0.41904761904761906,31,43,7,59
USM,71,0.7314285714285714,0.10804383086393735,0.7915555555555555,0.10474566492694413,0.7983574879227053,0.8444444444444444,0.52,13,12,7,39
YALE,56,0.593939393939394,0.20751215570621456,0.6182222222222222,0.17692099094521554,0.5984848484848484,0.5733333333333334,0.6133333333333333,17,11,12,16
