Model,Fold,Site,N,ACC
Ensemble_TS_Riemann_RBFSVM_Meta,1,CALTECH,8,0.625
Ensemble_TS_Riemann_RBFSVM_Meta,1,CMU,4,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,1,KKI,9,0.7777777777777778
Ensemble_TS_Riemann_RBFSVM_Meta,1,LEUVEN,13,0.6153846153846154
Ensemble_TS_Riemann_RBFSVM_Meta,1,MAX_MUN,11,0.45454545454545453
Ensemble_TS_Riemann_RBFSVM_Meta,1,NYU,35,0.8285714285714286
Ensemble_TS_Riemann_RBFSVM_Meta,1,OHSU,4,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,1,OLIN,7,0.7142857142857143
Ensemble_TS_Riemann_RBFSVM_Meta,1,PITT,11,0.7272727272727273
Ensemble_TS_Riemann_RBFSVM_Meta,1,SBL,6,0.8333333333333334
Ensemble_TS_Riemann_RBFSVM_Meta,1,SDSU,7,0.42857142857142855
Ensemble_TS_Riemann_RBFSVM_Meta,1,STANFORD,8,0.75
Ensemble_TS_Riemann_RBFSVM_Meta,1,TRINITY,10,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,1,UCLA,20,0.85
Ensemble_TS_Riemann_RBFSVM_Meta,1,UM,28,0.7857142857142857
Ensemble_TS_Riemann_RBFSVM_Meta,1,USM,15,0.8666666666666667
Ensemble_TS_Riemann_RBFSVM_Meta,1,YALE,11,0.7272727272727273
Ensemble_TS_Riemann_RBFSVM_Meta,2,CALTECH,7,0.5714285714285714
Ensemble_TS_Riemann_RBFSVM_Meta,2,CMU,6,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,2,KKI,9,0.7777777777777778
Ensemble_TS_Riemann_RBFSVM_Meta,2,LEUVEN,12,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,2,MAX_MUN,11,0.36363636363636365
Ensemble_TS_Riemann_RBFSVM_Meta,2,NYU,35,0.8857142857142857
Ensemble_TS_Riemann_RBFSVM_Meta,2,OHSU,5,0.6
Ensemble_TS_Riemann_RBFSVM_Meta,2,OLIN,7,0.8571428571428571
Ensemble_TS_Riemann_RBFSVM_Meta,2,PITT,11,0.8181818181818182
Ensemble_TS_Riemann_RBFSVM_Meta,2,SBL,6,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,2,SDSU,7,0.7142857142857143
Ensemble_TS_Riemann_RBFSVM_Meta,2,STANFORD,8,0.625
Ensemble_TS_Riemann_RBFSVM_Meta,2,TRINITY,10,0.8
Ensemble_TS_Riemann_RBFSVM_Meta,2,UCLA,19,0.7368421052631579
Ensemble_TS_Riemann_RBFSVM_Meta,2,UM,28,0.6071428571428571
Ensemble_TS_Riemann_RBFSVM_Meta,2,USM,14,0.7857142857142857
Ensemble_TS_Riemann_RBFSVM_Meta,2,YALE,12,0.75
Ensemble_TS_Riemann_RBFSVM_Meta,3,CALTECH,6,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,3,CMU,6,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,3,KKI,10,0.7
Ensemble_TS_Riemann_RBFSVM_Meta,3,LEUVEN,13,0.8461538461538461
Ensemble_TS_Riemann_RBFSVM_Meta,3,MAX_MUN,10,0.7
Ensemble_TS_Riemann_RBFSVM_Meta,3,NYU,35,0.7714285714285715
Ensemble_TS_Riemann_RBFSVM_Meta,3,OHSU,6,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,3,OLIN,7,0.8571428571428571
Ensemble_TS_Riemann_RBFSVM_Meta,3,PITT,12,0.75
Ensemble_TS_Riemann_RBFSVM_Meta,3,SBL,6,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,3,SDSU,6,0.8333333333333334
Ensemble_TS_Riemann_RBFSVM_Meta,3,STANFORD,8,0.875
Ensemble_TS_Riemann_RBFSVM_Meta,3,TRINITY,9,0.7777777777777778
Ensemble_TS_Riemann_RBFSVM_Meta,3,UCLA,20,0.8
Ensemble_TS_Riemann_RBFSVM_Meta,3,UM,27,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,3,USM,14,0.7857142857142857
Ensemble_TS_Riemann_RBFSVM_Meta,3,YALE,12,0.75
Ensemble_TS_Riemann_RBFSVM_Meta,4,CALTECH,8,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,4,CMU,6,1.0
Ensemble_TS_Riemann_RBFSVM_Meta,4,KKI,10,0.9
Ensemble_TS_Riemann_RBFSVM_Meta,4,LEUVEN,13,0.6923076923076923
Ensemble_TS_Riemann_RBFSVM_Meta,4,MAX_MUN,9,0.3333333333333333
Ensemble_TS_Riemann_RBFSVM_Meta,4,NYU,35,0.8
Ensemble_TS_Riemann_RBFSVM_Meta,4,OHSU,6,0.3333333333333333
Ensemble_TS_Riemann_RBFSVM_Meta,4,OLIN,6,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,4,PITT,11,0.7272727272727273
Ensemble_TS_Riemann_RBFSVM_Meta,4,SBL,6,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,4,SDSU,8,0.875
Ensemble_TS_Riemann_RBFSVM_Meta,4,STANFORD,8,0.75
Ensemble_TS_Riemann_RBFSVM_Meta,4,TRINITY,9,0.5555555555555556
Ensemble_TS_Riemann_RBFSVM_Meta,4,UCLA,19,0.7368421052631579
Ensemble_TS_Riemann_RBFSVM_Meta,4,UM,28,0.7857142857142857
Ensemble_TS_Riemann_RBFSVM_Meta,4,USM,14,0.7142857142857143
Ensemble_TS_Riemann_RBFSVM_Meta,4,YALE,11,0.7272727272727273
Ensemble_TS_Riemann_RBFSVM_Meta,5,CALTECH,8,0.625
Ensemble_TS_Riemann_RBFSVM_Meta,5,CMU,5,0.4
Ensemble_TS_Riemann_RBFSVM_Meta,5,KKI,10,0.5
Ensemble_TS_Riemann_RBFSVM_Meta,5,LEUVEN,12,0.6666666666666666
Ensemble_TS_Riemann_RBFSVM_Meta,5,MAX_MUN,11,0.5454545454545454
Ensemble_TS_Riemann_RBFSVM_Meta,5,NYU,35,0.6857142857142857
Ensemble_TS_Riemann_RBFSVM_Meta,5,OHSU,5,0.4
Ensemble_TS_Riemann_RBFSVM_Meta,5,OLIN,7,0.7142857142857143
