Fold,ACC,AUC,Params
1,0.7246376811594203,0.7699346405228759,[2.58573946 1.70577176 0.88325653]
2,0.7198067632850241,0.7996265172735761,[2.7191243  2.17487366 0.17045751]
3,0.748792270531401,0.8118811881188119,[2.79680665 1.0249924  1.29833086]
4,0.7101449275362319,0.763644859813084,[2.54819879 2.03946067 0.37510352]
5,0.6376811594202898,0.7235514018691589,[3.43316394 1.09073649 0.2685968 ]
