Fold,ACC,AUC,Params
1,0.7294685990338164,0.7911297852474323,[3.30565307 1.40053696 1.13341789]
2,0.7391304347826086,0.8276377217553689,[3.17333499 2.024117   0.92694977]
3,0.7439613526570048,0.8190734167756398,[3.42057704 0.60805572 1.69683592]
4,0.6908212560386473,0.7626168224299066,[2.77479898 1.98558045 1.04489154]
5,0.6714975845410628,0.731214953271028,[4.10573214 0.8368827  0.02741479]
