Model,Fold,AUC,ACC,F1,Sens,Spec,TN,FP,FN,TP,Train_AUC,Params
TS_Riemann_LogReg_procrustes,1,0.7716153127917834,0.7198067632850241,0.6881720430107527,0.6274509803921569,0.8095238095238095,85,20,38,64,1.0,{'C': 0.1}
TS_Riemann_LogReg_procrustes,2,0.7906629318394024,0.7198067632850241,0.7010309278350515,0.6666666666666666,0.7714285714285715,81,24,34,68,1.0,{'C': 0.1}
TS_Riemann_LogReg_procrustes,3,0.8010461423500841,0.7294685990338164,0.72,0.7128712871287128,0.7452830188679245,79,27,29,72,1.0,{'C': 10}
TS_Riemann_LogReg_procrustes,4,0.7403738317757009,0.6908212560386473,0.6923076923076923,0.72,0.6635514018691588,71,36,28,72,0.9901497241922774,{'C': 0.001}
TS_Riemann_LogReg_procrustes,5,0.7242990654205608,0.6038647342995169,0.5980392156862745,0.61,0.5981308411214953,64,43,39,61,1.0,{'C': 0.1}
