Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.6340802987861811,0.5845410628019324,0.5981308411214953,0.6274509803921569,0.5428571428571428,{'clf__C': 0.1}
2,0.6354808590102707,0.6086956521739131,0.6639004149377593,0.7843137254901961,0.4380952380952381,{'clf__C': 0.001}
3,0.6572949747804969,0.5652173913043478,0.64,0.7920792079207921,0.3490566037735849,{'clf__C': 0.001}
4,0.6168691588785047,0.5603864734299517,0.6403162055335968,0.81,0.32710280373831774,{'clf__C': 0.001}
5,0.5969158878504672,0.5555555555555556,0.6101694915254238,0.72,0.40186915887850466,{'clf__C': 0.001}
