Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.5178571428571429,0.15099584397578364,0.601388888888889,0.17816797456471753,0.49269841269841275,0.4666666666666666,0.5833333333333333,10,8,10,9
CMU,27,0.5233333333333333,0.24140790744666538,0.3888888888888889,0.21081851067789195,0.4666666666666666,0.36666666666666664,0.6666666666666666,9,4,9,5
KKI,48,0.44222222222222224,0.24195704138657176,0.44666666666666666,0.2714467412464798,0.44259740259740254,0.55,0.37333333333333335,10,18,9,11
LEUVEN,63,0.5243589743589744,0.23580683879024766,0.5404761904761906,0.1527525231651947,0.37272727272727274,0.36666666666666664,0.6523809523809524,22,12,18,11
MAX_MUN,52,0.5602020202020201,0.1805110137896788,0.6206666666666667,0.19691396880645903,0.5197979797979798,0.54,0.5733333333333333,16,12,11,13
NYU,175,0.6514285714285715,0.07928249671720919,0.6880000000000001,0.05524088662897758,0.5971486802606347,0.6133333333333333,0.68,68,32,29,46
OHSU,26,0.6133333333333334,0.28925190866555517,0.5722222222222222,0.2797706291558705,0.6066666666666667,0.6,0.6333333333333333,9,5,5,7
OLIN,34,0.4904761904761904,0.3227925205729967,0.5833333333333334,0.21081851067789195,0.4420634920634921,0.45,0.5333333333333333,8,7,10,9
PITT,56,0.6257575757575757,0.11383820458340507,0.6599999999999999,0.11234866364235147,0.5666666666666667,0.5133333333333333,0.74,20,7,14,15
SBL,30,0.6,0.19002923751652298,0.7111111111111112,0.180534186769688,0.5233333333333333,0.5333333333333333,0.6666666666666666,10,5,7,8
SDSU,36,0.6761904761904762,0.19932034460446488,0.7316666666666667,0.21720446076859884,0.5685714285714286,0.5666666666666667,0.74,16,6,6,8
STANFORD,39,0.5642857142857143,0.06262742113125065,0.5666666666666667,0.11887785514739256,0.6152380952380951,0.75,0.4,8,12,5,14
TRINITY,47,0.5111111111111111,0.11547005383792514,0.5860000000000001,0.18413038858374248,0.477979797979798,0.5,0.52,13,12,11,11
UCLA,98,0.661578947368421,0.08577090532019575,0.6551515151515152,0.07569586712338575,0.7065319865319866,0.7727272727272727,0.5222222222222223,23,21,12,42
UM,140,0.6360244480934136,0.08651084210908404,0.6945054945054945,0.06092358082625885,0.6227609427609428,0.6670329670329671,0.6066666666666667,45,29,22,44
USM,71,0.6914285714285715,0.10131784700855513,0.6328888888888888,0.08374446729467645,0.7481269349845201,0.7177777777777777,0.64,16,9,13,33
YALE,56,0.6475757575757576,0.12029768708079164,0.6646666666666667,0.1331339249602018,0.6618648018648019,0.6866666666666668,0.6066666666666667,17,11,9,19
