Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.47619047619047616,0.3299412869503711,0.49027777777777787,0.2734947581143913,0.4619047619047619,0.41666666666666663,0.55,10,8,11,8
CMU,27,0.67,0.12931443160847217,0.6722222222222223,0.17069212773041353,0.5766666666666667,0.5666666666666667,0.7666666666666666,10,3,6,8
KKI,48,0.45777777777777773,0.13411806112894584,0.5833333333333333,0.14897799986724364,0.5413986013986014,0.75,0.24666666666666667,7,21,5,15
LEUVEN,63,0.5743589743589743,0.14824194379038216,0.5650793650793652,0.20317460317460317,0.44373626373626374,0.44000000000000006,0.6761904761904762,23,11,16,13
MAX_MUN,52,0.5638383838383838,0.222763802863338,0.5753333333333333,0.21455483629547434,0.5206526806526807,0.5700000000000001,0.5533333333333333,15,13,10,14
NYU,175,0.64,0.04333071682315173,0.6886666666666666,0.05406169315390212,0.569584656084656,0.5733333333333334,0.6900000000000001,69,31,32,43
OHSU,26,0.5433333333333333,0.270185121722126,0.45555555555555555,0.31700761372638014,0.5533333333333333,0.6,0.5,7,7,5,7
OLIN,34,0.6666666666666666,0.2208004403689453,0.7277777777777779,0.2655067365633005,0.6865079365079365,0.7166666666666666,0.6,9,6,5,14
PITT,56,0.6439393939393939,0.1046990527354944,0.6744444444444444,0.11394172216261575,0.6388344988344988,0.62,0.6733333333333333,18,9,11,18
SBL,30,0.6333333333333334,0.18257418583505536,0.7555555555555555,0.17777777777777778,0.5142857142857143,0.4666666666666666,0.8,12,3,8,7
SDSU,36,0.7440476190476191,0.1478540755758836,0.77,0.139204086785474,0.7,0.7666666666666666,0.73,16,6,3,11
STANFORD,39,0.5392857142857143,0.10519054625016529,0.5833333333333333,0.16509677296799125,0.6342857142857142,0.8333333333333334,0.25,5,15,3,16
TRINITY,47,0.611111111111111,0.20993826252990208,0.59,0.1738965209542733,0.5154545454545454,0.5700000000000001,0.64,16,9,9,13
UCLA,98,0.6531578947368422,0.07324587666724633,0.6439898989898989,0.08954937123613353,0.67651291032096,0.7,0.5916666666666667,26,18,16,38
UM,140,0.6360062032475826,0.07846605154044069,0.6769597069597069,0.06377797464679823,0.6662621768294739,0.7736263736263737,0.5133333333333333,38,36,15,51
USM,71,0.76,0.10945132176787403,0.7928888888888889,0.0785347292839525,0.812275616577676,0.8444444444444444,0.6,15,10,7,39
YALE,56,0.6142424242424243,0.1593129763267229,0.6777777777777778,0.23423107720980196,0.5961538461538461,0.5866666666666667,0.64,18,10,12,16
