Fold,ACC,AUC,Params
1,0.748792270531401,0.7926237161531279,[2.04324822 1.12814608 0.93947202]
2,0.7536231884057971,0.8242763772175536,[1.66856733 1.88816723 0.20349239]
3,0.7294685990338164,0.8097328600784607,[1.80034104 0.53791125 0.90072455]
4,0.6908212560386473,0.756822429906542,[1.87950613 1.81526176 0.41819391]
5,0.6618357487922706,0.7323364485981309,[ 2.55421991  0.76198582 -0.05953645]
