Fold,ACC,AUC,Params
1,0.6666666666666666,0.7217553688141923,{'C': 0.1}
2,0.7004830917874396,0.746218487394958,{'C': 10}
3,0.6956521739130435,0.7153932374369514,{'C': 10}
4,0.642512077294686,0.7057009345794393,{'C': 100}
5,0.5990338164251208,0.665981308411215,{'C': 0.001}
