Fold,ACC,AUC,Params
1,0.7101449275362319,0.7523809523809524,{'C': 10}
2,0.714975845410628,0.7779645191409897,{'C': 10}
3,0.7439613526570048,0.7833457874089296,{'C': 10}
4,0.6908212560386473,0.7288785046728972,{'C': 10}
5,0.6328502415458938,0.7190186915887851,{'C': 10}
