Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.7648926237161531,0.7198067632850241,0.6704545454545454,0.5784313725490197,0.8571428571428571,{'C': 10}
2,0.7933706816059757,0.7101449275362319,0.6739130434782609,0.6078431372549019,0.8095238095238095,{'C': 10}
3,0.8090790211096582,0.7439613526570048,0.7253886010362695,0.693069306930693,0.7924528301886793,{'C': 10}
4,0.7703271028037383,0.7053140096618358,0.6965174129353234,0.7,0.7102803738317757,{'C': 10}
5,0.72,0.6376811594202898,0.5989304812834224,0.56,0.7102803738317757,{'C': 10}
