Site,Total_Samples,ACC_Mean,ACC_Std,AUC_Mean,AUC_Std,F1_Mean,Sens_Mean,Spec_Mean,TN_Total,FP_Total,FN_Total,TP_Total
CALTECH,37,0.4976190476190476,0.26097643919338576,0.5180555555555555,0.25982247025494687,0.4349206349206349,0.45,0.5333333333333333,10,8,10,9
CMU,27,0.5433333333333333,0.2782884195298907,0.5277777777777778,0.20934937423796413,0.5171428571428571,0.4333333333333333,0.6666666666666666,8,5,8,6
KKI,48,0.48,0.11637529753578814,0.52,0.17682382946499794,0.4700854700854701,0.6,0.4066666666666666,11,17,8,12
LEUVEN,63,0.5410256410256411,0.15395295438233922,0.5463492063492064,0.13781727178813333,0.3466666666666667,0.3333333333333333,0.7047619047619047,24,10,19,10
MAX_MUN,52,0.5256565656565656,0.16772179023155492,0.5680000000000001,0.1796490405701566,0.5193939393939394,0.58,0.47333333333333333,13,15,10,14
NYU,175,0.5942857142857143,0.046947647786157114,0.6666666666666666,0.03134042472944845,0.5577371073821379,0.6,0.5900000000000001,59,41,30,45
OHSU,26,0.48666666666666664,0.196638416050035,0.5055555555555556,0.26199613605670213,0.43,0.4666666666666666,0.5,7,7,6,6
OLIN,34,0.5761904761904761,0.2577594019566545,0.6222222222222222,0.29112383347942006,0.5563492063492064,0.55,0.6,9,6,8,11
PITT,56,0.5909090909090909,0.06428243465332252,0.6933333333333334,0.07423685817106696,0.4938095238095238,0.4533333333333333,0.74,20,7,16,13
SBL,30,0.5666666666666667,0.19002923751652304,0.711111111111111,0.15071844406945042,0.47333333333333333,0.4666666666666666,0.6666666666666666,10,5,8,7
SDSU,36,0.7273809523809524,0.0751038585504167,0.805,0.09213516640723503,0.6233333333333333,0.6666666666666666,0.77,17,5,5,9
STANFORD,39,0.5428571428571429,0.1303693732031713,0.5791666666666667,0.12104865871944959,0.6055555555555555,0.75,0.35,7,13,5,14
TRINITY,47,0.5933333333333334,0.1801234144814173,0.604,0.2222251110923336,0.6143900543900543,0.67,0.52,13,12,7,15
UCLA,98,0.7136842105263158,0.03377249942559068,0.7248484848484849,0.03592666747946406,0.7538720538720539,0.8127272727272727,0.5916666666666666,26,18,10,44
UM,140,0.6207170224411603,0.10284953123592624,0.7095238095238094,0.07635232176213273,0.6352857142857143,0.7263736263736263,0.5247619047619048,39,35,18,48
USM,71,0.62,0.032888184094918144,0.6973333333333335,0.10605751991661974,0.6878431372549019,0.6511111111111111,0.56,14,11,16,30
YALE,56,0.6357575757575757,0.20287363924034732,0.6888888888888889,0.1857915996984754,0.5826262626262626,0.5533333333333333,0.72,20,8,13,15
