Fold,AUC,ACC,F1,Sens,Spec,Best_Params
1,0.56890756302521,0.5217391304347826,0.49746192893401014,0.4803921568627451,0.5619047619047619,{'clf__C': 0.1}
2,0.6097105508870215,0.5942028985507246,0.5670103092783505,0.5392156862745098,0.6476190476190476,{'clf__C': 100}
3,0.6383336446852231,0.5990338164251208,0.5870646766169154,0.5841584158415841,0.6132075471698113,{'clf__C': 0.1}
4,0.5582242990654206,0.5555555555555556,0.5576923076923077,0.58,0.5327102803738317,{'clf__C': 0.1}
5,0.5413084112149532,0.5024154589371981,0.4975609756097561,0.51,0.4953271028037383,{'clf__C': 0.1}
