Model,Fold,AUC,ACC,F1,Sens,Spec,TN,FP,FN,TP,Train_AUC,Params
TS_Riemann_LogReg_standard_scaler,1,0.7684407096171801,0.7004830917874396,0.6736842105263158,0.6274509803921569,0.7714285714285715,81,24,38,64,1.0,{'C': 0.1}
TS_Riemann_LogReg_standard_scaler,2,0.8223155929038282,0.7681159420289855,0.7551020408163265,0.7254901960784313,0.8095238095238095,85,20,28,74,1.0,{'C': 100}
TS_Riemann_LogReg_standard_scaler,3,0.806463665234448,0.7101449275362319,0.7058823529411765,0.7128712871287128,0.7075471698113207,75,31,29,72,1.0,{'C': 100}
TS_Riemann_LogReg_standard_scaler,4,0.7738317757009345,0.6811594202898551,0.6732673267326733,0.68,0.6822429906542056,73,34,32,68,1.0,{'C': 0.1}
TS_Riemann_LogReg_standard_scaler,5,0.7191588785046729,0.6328502415458938,0.62,0.62,0.6448598130841121,69,38,38,62,1.0,{'C': 0.001}
