Model,Fold,AUC,ACC,F1,Sens,Spec,TN,FP,FN,TP,Train_AUC,Params
TS_Riemann_RBFSVM_neuroHarmonize,1,0.7631652661064425,0.7004830917874396,0.6593406593406593,0.5882352941176471,0.8095238095238095,85,20,42,60,1.0,{'C': 10}
TS_Riemann_RBFSVM_neuroHarmonize,2,0.780952380952381,0.7246376811594203,0.6885245901639344,0.6176470588235294,0.8285714285714286,87,18,39,63,1.0,{'C': 10}
TS_Riemann_RBFSVM_neuroHarmonize,3,0.7925929385391369,0.7101449275362319,0.6774193548387096,0.6237623762376238,0.7924528301886793,84,22,38,63,1.0,{'C': 10}
TS_Riemann_RBFSVM_neuroHarmonize,4,0.7749065420560748,0.7004830917874396,0.696078431372549,0.71,0.6915887850467289,74,33,29,71,1.0,{'C': 10}
TS_Riemann_RBFSVM_neuroHarmonize,5,0.7144859813084113,0.6231884057971014,0.59375,0.57,0.6728971962616822,72,35,43,57,1.0,{'C': 10}
